car_full_nm,car_0_60_time_seconds
Mercedes CLK 63 AMG - [2006],4.5
Mercedes CLS Class 55 AMG - [2006],4.5
Mercedes E Class 55K AMG - [2003],4.5
Mercedes S Class 63 AMG - [2006],4.5
Mercedes S Class 63 L AMG - [2009],4.5
Mercedes SL Class 63 AMG V8 R230 - [2008],4.5
Mitsubishi Lancer Evo III - [1995],4.5
Monteverdi Hai 450 GTS - [1973],4.5
Monteverdi Hai 450 SS - [1970],4.5
Morgan 3 Wheeler 2.0l V-Twin - [2011],4.5
Nissan 370Z Nismo - [2009],4.5
Porsche 911 50 Years 911 Edition - [2013],4.5
Porsche 911 GT3 996 - [2003],4.5
Porsche Cayman GTS PDK 3.4L - [2014],4.5
Subaru Impreza WRX STI S206 - [2011],4.5
Subaru Impreza WRX STI V3 - Classic (JDM) - [1996],4.5
Subaru Impreza WRX Type RA - Classic (JDM) - [1996],4.5
Aston-Martin Vantage V8 550 - [1993],4.6
Audi A3 RS3 Sportback 2.5 Turbo - [2010],4.6
Audi A4 RS4 4.2 V8 - [2005],4.6
Audi A4 RS4 Avant 4.2 V8 - [2006],4.6
Audi A4 RS4 Avant 4.2L V8 - [2012],4.6
Audi A5 RS5 4.2 V8 Cabriolet - [2012],4.6
Audi A6 RS6 5.0 TFSI V10 - [2008],4.6
Audi A6 RS6 Avant 4.2 V8 Twin Turbo - [2002],4.6
Audi A8 4.2 TDi Quattro - [2013],4.6
BMW 5 Series 550i GT xDrive F07 - [2013],4.6
Bentley Continental GT V8 - [2012],4.6
Dodge Viper SRT/10 8.0L V10 - [1992],4.6
Honda NSX R 3.2 V6 - [2002],4.6
Jaguar XK R 5.0 Supercharged - [2009],4.6
Lamborghini Countach LP5000S QV - [1985],4.6
Lotus Esprit S4 3.5 V8 Turbo - [1996],4.6
Lotus Evora S IPS 3.5 V8 - [2011],4.6
Mercedes A Class 45 AMG 2.0 Turbo - [2013],4.6
Nissan Skyline R34 GTR - [1999],4.6
Porsche 911 Carrera 4S Cabriolet 991 - [2012],4.6
Porsche 911 Carrera 996 - [1997],4.6
Porsche 911 Carrera S Cabriolet 991 - [2011],4.6
Porsche Boxster GTS PDK - [2014],4.6
Porsche Cayman GTS 3.4L - [2014],4.6
Subaru Impreza WRX STI 330S - Hatch - [2008],4.6
Subaru Impreza WRX STI V1 - Classic (JDM) Wagon - [1994],4.6
Wiesmann GT MF4 - [2008],4.6
Audi A3 S3 2.0 Turbo S-Tronic - [2012],4.7
Audi A4 RS4 Avant 2.7T Quattro V6 - [2000],4.7
BMW 5 Series M5 V10 4d SMG E60 - [2004],4.7
BMW Alpina B5 V8 Switchtronic E60 - [2006],4.7
BMW X5 M Sport 4.4 V8 - [2009],4.7
Bentley Continental GT 6.0 2d W12 - [2003],4.7
Bentley Continental GTC 6.0 W12 Cabrio - [2005],4.7
Caterham 7 Superlight R300 - [2003],4.7
Chevrolet Corvette C4 ZR1 - [1995],4.7
Ferrari 355 F1 Berlinetta - [1997],4.7
Iso Grifo Can-Am 7.4 V8 - [1970],4.7
Jaguar D Type 3.4L - [1954],4.7
Jaguar XF R 5.0 V8 Supercharged - [2009],4.7
Jaguar XJ V8 SuperSport - [2009],4.7
Lotus Elise 1.8 S2 Sport 190 - [2003],4.7
Maserati Ghibli S 3.0 V6 Turbo - [2013],4.7
